5,11,0,0
10,16,0,0
15,17,0,0
20,17,0,0
25,17,0,0
30,19,0,0
35,20,0,0
40,20,0,0
45,27,0,0
50,27,0,0
55,27,0,0
60,27,0,0
65,27,0,0
70,27,0,0
75,27,0,0
80,30,0,0
85,30,0,0
90,30,0,0
95,30,0,0
100,30,0,0
105,30,0,0
110,30,0,0
115,30,0,0
120,30,0,0
125,30,0,0
130,30,0,0
135,30,0,0
140,30,0,0
145,30,0,0
150,30,0,0
155,30,0,0
160,30,0,0
165,30,0,0
170,30,0,0
175,30,0,0
180,30,0,0
185,30,0,0
190,30,0,0
195,30,0,0
200,30,0,0
205,30,0,0
210,30,0,0
215,30,0,0
220,30,0,0
225,30,0,0
230,30,0,0
235,30,0,0
240,30,0,0
245,30,0,0
250,30,0,0
255,30,0,0
260,30,0,0
265,30,0,7
270,30,0,0
275,30,0,0
280,30,0,0
285,30,0,0
290,30,0,0
295,30,0,0
300,30,0,0
305,30,0,0
310,30,0,0
315,30,0,0
320,30,0,0
325,30,0,0
330,30,0,0
335,30,0,0
340,30,0,0
345,30,0,0
350,30,0,0
355,30,0,0
360,30,0,0
365,30,0,0
370,30,0,0
375,30,0,0
380,30,0,0
385,30,0,0
390,30,0,0
395,30,0,0
400,30,0,0
405,30,0,0
410,30,0,0
415,30,0,0
420,30,0,0
425,30,0,0
430,30,0,0
435,30,0,0
440,30,0,0
445,30,0,0
450,30,0,0
455,30,0,0
460,30,0,0
465,30,0,0
470,30,0,0
475,30,0,0
